CodigoMunicipio,Municipio,AliquotaISS
4112702,JATAIZINHO,3.00
4112751,JESUITAS,3.00
4112801,JOAQUIM TAVORA,2.00
4112900,JUNDIAI DO SUL,3.00
4112959,JURANDA,2.00
4113007,JUSSARA,5.00
4113106,KALORE,5.00
4113205,LAPA,5.00
4113254,LARANJAL,5.00
4113304,LARANJEIRAS DO SUL,5.00
4113403,LEOPOLIS,5.00
4113429,LIDIANOPOLIS,5.00
4113452,LINDOESTE,5.00
4113502,LOANDA,5.00
4113601,LOBATO,2.00
4113700,LONDRINA,3.00
4113734,LUIZIANA,5.00
4113759,LUNARDELLI,4.00
4113809,LUPIONOPOLIS,3.00
4113908,MALLET,3.00
4114005,MAMBORE,2.00
4114104,MANDAGUACU,3.00
4114203,MANDAGUARI,3.00
4114302,MANDIRITUBA,2.00
4114351,MANFRINOPOLIS,3.00
4114401,MANGUEIRINHA,5.00
4114500,MANOEL RIBAS,2.00
4114609,MARECHAL CANDIDO RONDON,3.00
4114708,MARIA HELENA,3.00
4114807,MARIALVA,3.00
4114906,MARILANDIA DO SUL,3.00
4115002,MARILENA,2.00
4115101,MARILUZ,3.00
4115200,MARINGA,3.00
4115309,MARIOPOLIS,3.00
4115358,MARIPA,3.00
4115408,MARMELEIRO,3.00
4115457,MARQUINHO,5.00
4115507,MARUMBI,5.00
4115606,MATELANDIA,3.00
4115705,MATINHOS,5.00
4115739,MATO RICO,5.00
4115754,MAUA DA SERRA,3.00
4115804,MEDIANEIRA,3.00
4115853,MERCEDES,2.00
4115903,MIRADOR,3.00
4116000,MIRASELVA,2.00
4116059,MISSAL,3.00
4116109,MOREIRA SALES,3.00
4116208,MORRETES,5.00
4116307,MUNHOZ DE MELO,3.00
4116406,NOSSA SENHORA DAS GRACAS,4.00
4116505,NOVA ALIANCA DO IVAI,5.00
4116604,NOVA AMERICA DA COLINA,5.00
4116703,NOVA AURORA,2.00
4116802,NOVA CANTU,3.00
4116901,NOVA ESPERANCA,2.00
4116950,NOVA ESPERANCA DO SUDOEST,3.00
4117008,NOVA FATIMA,5.00
4117057,NOVA LARANJEIRAS,5.00
4117107,NOVA LONDRINA,2.00
4117206,NOVA OLIMPIA,3.00
4117214,NOVA SANTA BARBARA,5.00
4117222,NOVA SANTA ROSA,3.00
4117255,NOVA PRATA DO IGUACU,3.00
4117271,NOVA TEBAS,3.00
4117297,NOVO ITACOLOMI,5.00
4117305,ORTIGUEIRA,5.00
4117404,OURIZONA,3.00
4117453,OURO VERDE DO OESTE,3.00
4117503,PAICANDU,3.00
4117602,PALMAS,3.00
4117701,PALMEIRA,3.00
4117800,PALMITAL,3.00
4117909,PALOTINA,3.00
4118006,PARAISO DO NORTE,5.00
4118105,PARANACITY,3.00
4118204,PARANAGUA,5.00
4118303,PARANAPOEMA,5.00
4118402,PARANAVAI,2.00
4118451,PATO BRAGADO,2.00
4118501,PATO BRANCO,2.00
4118600,PAULA FREITAS,2.50
4118709,PAULO FRONTIN,5.00
4118808,PEABIRU,5.00
4118857,PEROBAL,5.00
4118907,PEROLA,5.00
4119004,PEROLA D'OESTE,3.00
4119103,PIEN,2.00
4119152,PINHAIS,2.00
4119202,PINHALAO,5.00
4119251,PINHAL DE SAO BENTO,3.00
4119301,PINHAO,5.00
4119400,PIRAI DO SUL,2.50
4119509,PIRAQUARA,5.00
4119608,PITANGA,3.50
4119657,PITANGUEIRAS,5.00
4119707,PLANALTINA DO PARANA,3.00
4119806,PLANALTO,3.00
4119905,PONTA GROSSA,3.00
4119954,PONTAL DO PARANA,5.00
4120002,PORECATU,4.00
4120101,PORTO AMAZONAS,4.00
4120150,PORTO BARREIRO,4.00
4120200,PORTO RICO,5.00
4120309,PORTO VITORIA,3.00
4120333,PRADO FERREIRA,5.00
4120358,PRANCHITA,3.00
4120408,PRESIDENTE CASTELO BRANCO,5.00
4120507,PRIMEIRO DE MAIO,3.00
4120606,PRUDENTOPOLIS,5.00
4120655,QUARTO CENTENARIO,2.00
4120705,QUATIGUA,3.00
4120804,QUATRO BARRAS,5.00
4120853,QUATRO PONTES,2.00
4120903,QUEDAS DO IGUACU,2.00
4121000,QUERENCIA DO NORTE,3.00
4121109,QUINTA DO SOL,5.00
4121208,QUITANDINHA,5.00
4121257,RAMILANDIA,5.00
4121307,RANCHO ALEGRE,5.00
4121356,RANCHO ALEGRE D'OESTE,2.00
4121406,REALEZA,3.00
4121505,REBOUCAS,5.00
4121604,RENASCENCA,3.00
4121703,RESERVA,2.00
4121752,RESERVA DO IGUACU,5.00
4121802,RIBEIRAO CLARO,5.00
4121901,RIBEIRAO DO PINHAL,5.00
4122008,RIO AZUL,5.00
4122107,RIO BOM,4.00
4122156,RIO BONITO DO IGUACU,4.00
4122172,RIO BRANCO DO IVAI,5.00
4122206,RIO BRANCO DO SUL,5.00
4122305,RIO NEGRO,2.00
4122404,ROLANDIA,5.00
4122503,RONCADOR,3.00
4122602,RONDON,3.00
4122651,ROSARIO DO IVAI,5.00
4122701,SABAUDIA,2.00
4122800,SALGADO FILHO,3.00
4122909,SALTO DO ITARARE,5.00
4123006,SALTO DO LONTRA,3.00
4123105,SANTA AMELIA,3.00
4123204,SANTA CECILIA DO PAVAO,5.00
4123303,SANTA CRUZ DE MONTE CASTE,2.50
4123402,SANTA FE,3.00
4123501,SANTA HELENA,3.00
4123600,SANTA INES,4.00
4123709,SANTA ISABEL DO IVAI,5.00
4123808,SANTA IZABEL DO OESTE,3.00
4123824,SANTA LUCIA,5.00
4123857,SANTA MARIA DO OESTE,2.00
4123907,SANTA MARIANA,4.00
4123956,SANTA MONICA,4.00
4124004,SANTANA DO ITARARE,5.00
4124020,SANTA TEREZA DO OESTE,5.00
4124053,SANTA TEREZINHA DE ITAIPU,4.00
4124103,SANTO ANTONIO DA PLATINA,3.00
4124202,SANTO ANTONIO DO CAIUA,3.00
4124301,SANTO ANTONIO DO PARAISO,2.00
4124400,SANTO ANTONIO DO SUDOESTE,3.00
4124509,SANTO INACIO,3.00
4124608,SAO CARLOS DO IVAI,5.00
4124707,SAO JERONIMO DA SERRA,5.00
4124806,SAO JOAO,5.00
4124905,SAO JOAO DO CAIUA,3.00
4125001,SAO JOAO DO IVAI,2.00
4125100,SAO JOAO DO TRIUNFO,3.00
4125209,SAO JORGE D'OESTE,3.50
4125308,SAO JORGE DO IVAI,5.00
4125357,SAO JORGE DO PATROCINIO,3.50
4125407,SAO JOSE DA BOA VISTA,5.00
4125456,SAO JOSE DAS PALMEIRAS,5.00
4125506,SAO JOSE DOS PINHAIS,2.50
4125555,SAO MANOEL DO PARANA,3.00
4125605,SAO MATEUS DO SUL,4.00
4125704,SAO MIGUEL DO IGUACU,3.00
4125753,SAO PEDRO DO IGUACU,3.00
4125803,SAO PEDRO DO IVAI,2.00
4125902,SAO PEDRO DO PARANA,5.00
4126009,SAO SEBASTIAO DA AMOREIRA,2.00
4126108,SAO TOME,3.00
4126207,SAPOPEMA,5.00
4126256,SARANDI,3.00
4126272,SAUDADE DO IGUACU,5.00
4126306,SENGES,4.00
4126355,SERRANOPOLIS DO IGUACU,3.00
4126405,SERTANEJA,5.00
4126504,SERTANOPOLIS,3.00
4126603,SIQUEIRA CAMPOS,3.00
4126652,SULINA,5.00
4126678,TAMARANA,5.00
4126702,TAMBOARA,5.00
4126801,TAPEJARA,5.00
4126900,TAPIRA,2.50
4127007,TEIXEIRA SOARES,5.00
4127106,TELEMACO BORBA,5.00
4127205,TERRA BOA,3.00
4127304,TERRA RICA,5.00
4127403,TERRA ROXA,3.00
4127502,TIBAGI,2.00
4127601,TIJUCAS DO SUL,5.00
4127700,TOLEDO,3.00
4127809,TOMAZINA,2.00
4127858,TRES BARRAS DO PARANA,4.00
4127882,TUNAS DO PARANA,5.00
4127908,TUNEIRAS DO OESTE,3.00
4127957,TUPASSI,5.00
4127965,TURVO,5.00
4128005,UBIRATA,3.00
4128104,UMUARAMA,2.00
4128203,UNIAO DA VITORIA,2.50
4128302,UNIFLOR,4.00
4128401,URAI,3.00
4128500,WENCESLAU BRAZ,5.00
4128534,VENTANIA,3.00
4128559,VERA CRUZ DO OESTE,4.00
4128609,VERE,5.00
4128625,ALTO PARAISO,3.00
4128633,DOUTOR ULYSSES,3.00
4128658,VIRMOND,5.00
4128708,VITORINO,3.00
4128807,XAMBRE,5.00
